Français;Sésames;Chapitre;Nombre de traits;JLPT;Kanji;id;Lecture On;Autres sens (lecture On);Lecture Kun;Autres sens (lecture Kun)
épée;Aucun;5;2;1;刀;1498;too;sword, saber, knife, engraving tool;katana;sword, blade
lame;poignard, goutte;5;3;1;刃;1071;jin;blade, sword, cutting tool;ha;blade, edge
couper;poignard, sept;5;4;4;切;1154;setsu, [sai];cut, chop, hash/ carve/ saw/ clip, shear/ slice, strip/ fell, cut down/ punch/ sever (connections)/ pause, break off/ disconnect, turn off/ hang up/ cross (a street)/ discount, sell below cost/ shake (water) off;ki(ru), ki(reru);cut, chop, hash/ carve/ saw/ clip, shear/ slice, strip/ fell, cut down/ punch/ sever (connections)/ pause, break off/ disconnect, turn off/ hang up/ cross (a street)/ discount, sell below cost/ shake (water) off. cut well, be sharp/ break, snap/ wear out/ be injured/ burst, collapse/ break off, be disconnected/ be out of/ expire/ sever (connections) with/ sharp, shrewd/ less than 
faire venir à soi;poignard, bouche;5;5;2;召;962;shoo;call, send for/ wear, put on/ take (a bath)/ ride in/ buy/ eat, drink/ catch (a cold) ;me(su);call, send for/ wear, put on/ take (a bath)/ ride in/ buy/ eat, drink/ catch (a cold) 
briller;soleil, faire venir à soi;5;9;1;昭;973;shoo;clear, bright;-;-
règlement;huître, sabre;5;9;2;則;1265;soku;follow (precedent), be based on, go by/ live up to/ model after/ be in accordance with;-;-
vice;abondance, sabre;5;11;2;副;1767;fuku;duplicate, copy/ assistant, associate ;-;-
séparer;sabre, emballé, bouche;5;7;4;別;1805;betsu;divide, split, separate/ isolate/ distribute, share/ distinguish/ spare ;waka(reru);branch off, diverge from, fork/ split/ be divided/ part with/ be divorced/ bid farewell/ break up, disperse, scatter 
pâté de maisons;Aucun;5;2;1;丁;1392;tei, 	choo;fourth/ adult male/ servant. counter for guns, tools, orders of food, leaves, blocks or cakes of something/ even number;-;-
quartier;rizière, pâté de maisons;5;7;4;町;1396;choo;town/ block/ street/ 2.45 acres/ 119 yards;machi;town/ quarters/ street
possible;clou, bouche;5;5;3;可;135;ka;good, passable/ approval/ safe to say, ability to do;-;-
placer au sommet;clou, tête;5;11;3;頂;1404;choo;head/ top of the head/ top, summit, peak/ spire ;itada(ku), itadaki;be crowned with, wear/ live under (a ruler)/ install (a president)/ receive, accept/ buy/ take, eat, drink 
enfant ;Aucun;6;3;5;子;760;shi, 	su;viscount, master/ child/ male/ fruit/ seed. offspring/ the young (of animals) ;ko;child, offspring/ the young (of animals) 
cavité;enfant, hameçon;6;4;1;孔;591;koo;hole, aperture, slit/ gap, stop (of musical instrument)/ eyelet/ cavity/ socket/ cave/ den/ hiding place/ pit/ fault, defect/ deficit/ grave/ dark horse;-;-
achevé;Aucun;6;2;2;了;2060;ryoo;finish, complete/ understand;-;-
femme;Aucun;6;3;5;女;952;jo, nyo, [nyoo];woman, girl, daughter;onna, me;woman, female, sweetheart, girl
attachement;femme, enfant;6;6;3;好;600;koo;like, be fond of;kono(mu), su(ku);like, be fond of. Love
paraître;orifice, femme;6;6;1;如;953;jo, 	nyo;like, such as, as if;-;-
maman;femme, goutte;6;5;5;母;1823;bo;mother/ cause/ motive;haha;mother/ cause/ motive
percer;coquillage, maman;6;11;1;貫;262;kan;8.3/1 pounds;tsuranu(ku);pierce, penetrate, perforate/ shoot through/ attain (one's object)
frère aîné;bouche, jambes;6;5;4;兄;469;kei, [kyoo];brother/ you/ elder brother;ani;elder brother
surmonter;aiguille, adolescent;6;7;1;克;657;koku;win/ prevail, predominate, surpass ;-;-
maudire;bouche, adolescent;6;8;0;呪;878;ju;spell, curse, incantation;noro(u);curse
petit;gouttes;7;3;5;小;959;shoo;smallness/ minor/ small. humility prefix, small ;chii(sai), ko, o;small, little, diminutive, minute, fine, trivial. short/ pretty/ petty/ nearly. nice
un peu;goutte, petit;7;4;4;少;961;shoo;few/ small/ young;suku(nai), suko(shi);a small quantity, a little/ a few/ something/ a little while/ a short distance. few, a little, scarce, insufficient, seldom 
grand;Aucun;7;3;5;大;1312;dai, 	tai;large, huge, grand/ the greater/ size/ very/ inveterate (smoker)/ severe (damage)/ success;oo, oo(kii), oo(ini);large, great, grand, mighty, immense/ severe/ heavy. very, much, greatly, exceedingly. heavy (rain)/ loud (voice)/ full-size, life-size
soirée;lune;7;3;4;夕;1138;seki;evening;yuu;evening
beaucoup;lunes;7;6;4;多;1285;ta;much;oo(i);many/ copious, abundant/ much/ frequent
marée du soir;eau, soirée;7;6;1;汐;;seki;eventide, tide, salt water, opportunity ;shio, ushio, sei;
extérieur;soirée, baguette magique;7;5;5;外;197;gai, 	ge;outside, without, beside, beyond the scope off;soto, hoka, ha(zusu), hazu(reru);outside, exterior, open air/ some other place/ outside/ the rest/ take off, remove, unfasten, undo, detach, disconnect, put out off gear/ miss, fail/ avoid, evade, dodge/ be off, come off, be or get out of place, be out of gear, run off the track, slip out or off, be dislocated, be disconnected, be off the hook (a phone), be unbuttoned, be unzipped
nom;soirée, bouche;7;6;5;名;1926;mei, 	myoo;distinguished, noted, wise, name;na;name/ fame, reputation/ pretext
pierre;falaise, bouche;7;5;3;石;1140;seki, [shaku], [koku];stone, pebble, rock/ jewel/ the go playing stones. 4.96 bushels/ 10 cubic feet (of lumber);ishi;stone, pebble, rock/ jewel/ the go playing stones
portrait;petit, morceau de chair;7;7;1;肖;966;shoo;resemble;-;-
nitrate;rocher, étincelles;7;12;1;硝;992;shoo;saltpeter;-;-
fracasser;rocher, neuf, dix;7;9;1;砕;698;sai;break, smash, crush/ pulverize/ tax (one's ingenuity)/ explain simply ;kuda(ku), kuda(keru);break, smash, crush/ pulverize/ tax (one's ingenuity)/ explain simply. crumble, be crushed, go to pieces/ become familiar 
sable;pierre, peu;7;9;2;砂;686;sa, 	sha;sand;suna;sand
raboter;étincelle, sabre;7;9;1;削;724;saku;plane, sharpen, whittle, pare, shave (leather)/ scrape off/ cross out/ reduce, curtail ;kezu(ru);plane, sharpen, whittle, pare, shave (leather)/ scrape off/ cross out/ reduce, curtail 
rayon;petit, jambes;7;6;3;光;597;koo;light;hika(ru), hikari;shine, glitter, sparkle, twinkle, flash. light, beam, glare, gleam, glimmer, glow, brightness, radiance, glitter, luster/ influence (of parents)
gros;goutte, grand;7;4;3;太;1293;tai, 	ta;get fat, gain, fill out;futo(i), futo(ru);get fat, gain, fill out. big, thick, burly, fat/ deep, sonorous (voice)/ shameless, audacious, insolent
ustensile;saint-bernard, bouche;7;15;1;器;334;ki;container/ utensil, instrument, tool, apparatus/ set/ ability;utsuwa;vessel, receptacle, utensil, implement, instrument/ capacity, ability
puer;nez, saint-bernard;7;9;1;臭;892;shuu;odor, savor, fragrance ;kusa(i), nio(u);ill-smelling/ suspicious-looking. smell, odor, scent/ stench/ fragrance, aroma, perfume 
bizarre;femme, peu;7;7;1;妙;1917;myoo;strange, queer/ mystery, miracle/ cleverness ;-;-
faire le point;œil, peu;7;9;2;省;1120;sei, 	shoo;ministry, department/ province (in China);kaeri(miru), habu(ku);look back/ turn around, look back upon, review/ examine oneself/ take notice of. omit, eliminate/ curtail, economize
département;petit, crochet, œil;7;9;3;県;521;ken;prefecture/ district (in China);-;-
épais;falaise, enfant, soleil;7;9;2;厚;614;koo;very thick/ heavy;atsu(i);thick/ kind, cordial
étrange;saint-bernard, possible;7;8;1;奇;310;ki;strangeness, curiosity, eccentricity;-;-
rivière;Aucun;8;3;5;川;1167;sen;river, stream, brook;kawa;river, stream, brook
province;gouttes, rivière;8;6;2;州;885;shuu;province, state/ continent;su;sandbar, shallows
obéir;rivière, tête;8;12;2;順;939;jun;order/ turn/ right/ docility, obedience/ occasion ;-;-
eau;bâton de marche, gouttes;8;4;5;水;1081;sui;water/ ice water/ Wednesday;mizu;water
glaçon;goutte, eau;8;5;2;氷;1717;hyoo;freeze/ be frozen over/ congeal;koori, hi;ice/ shaved ice. hail
éternité;dans une goutte d’eau;8;5;2;永;68;ei;long, lengthy;naga(i);long, lengthy
fontaine;blanc, eau;8;9;2;泉;1173;sen;spring, fountain (head), source;izumi;spring, fountain (head), source
plaine;falaise, filets d’eau/fontaine;8;10;3;原;551;gen;original, primitive;hara;field, plain, prairie, tundra, moor, wilderness
souhait;plaine, tête;8;19;3;願;300;gan;prayer, petition, vow;nega(u);desire, wish, hope/ beg, implore
nager;eau, éternité;8;8;3;泳;69;ei;swim/ totter/ keep afloat, get along;oyo(gu);swim/ totter/ keep afloat, get along
marécage;eau, faire venir à soi;8;8;1;沼;972;shoo;swamp, lake;numa;swamp, bog, pond, lake
grand large;eau, dedans;8;7;1;沖;1379;chuu;offing, open sea;oki;offing, open sea
crique;eau, travail;8;6;1;江;601;koo;inlet, bay;e;inlet, bay
pan-;eau, ordinaire;8;6;0;汎;1660;han;pan-;-;-
soupe;eau, dix;8;5;1;汁;908;juu;juice;shiru;juice/ sap/ soup, broth/ gravy/ pus 
marée du matin;eau, matin;8;15;1;潮;1413;choo;tide/ salt water/ opportunity;shio;tide/ salt water/ opportunity
source;eau, plaine;8;13;1;源;555;gen;source, origin;minamoto;source, origin
animé;eau, langue;8;9;3;活;234;katsu;living/ being helped/ resuscitation;-;-
éteindre;eau, étincelles;8;10;3;消;976;shoo;extinguish, blow out/ turn off, erase, cross out/ neutralize (odors or poisons)/ deaden (noise)/ cancel (in fractions) ;ki(eru), ke(su);extinguish, blow out/ turn off, erase, cross out/ neutralize (odors or poisons)/ deaden (noise)/ cancel (in fractions). be extinguished/ melt away/ disappear, die out/ wear away/ burst (as a bubble) 
évidemment/situation;eau, grand frère;8;8;2;況;402;kyoo;still more, still less (neg.);-;-
fleuve;eau, possible;8;8;2;河;142;ka;river, stream;kawa;river, stream
passer la nuit;eau, blanc;8;8;2;泊;1633;haku;(three-day) stay;to(maru), to(meru);stay at, put up at/ ride at anchor. lodge a person 
lac;eau, vieux, chair;8;12;2;湖;570;ko;lake;mizuumi;lake
sonder;eau, règlement;8;12;2;測;1270;soku;measure, gauge, weigh/ fathom, sound/ compute, estimate;haka(ru);measure, gauge, weigh/ fathom, sound/ compute, estimate
sable fin;eau, un peu;8;7;1;沙;684;sa;sand;-;-
sélection;eau, gros;8;7;1;汰;1286;ta;luxury/ select;-;-
terre;sol, sous-sol;8;3;5;土;1493;do, 	to;earth, ground/ Saturday/ Turkey;tsuchi;earth, soil, ground
cracher;terre, falaise;8;6;1;吐;1485;to;disgorge, vomit/ belch, emit/ give vent to/ confess/ tell (lies), speak ;ha(ku);disgorge, vomit/ belch, emit/ give vent to/ confess/ tell (lies), speak 
pression;falaise, terre;8;5;2;圧;8;atsu;press, oppress, dominate, overwhelm;-;-
cap;terre, étrange;8;11;0;埼;716;-;-;[sai];cape, used for the name of prefecture, 'Saitama'
haie;terre, temps qui passe;8;9;1;垣;208;-;-;kaki;fence, hedge, wall
joyau;terre, terre;8;6;1;圭;;kei, ke;square jewel, corner, angle, edge ;;
sceller;joyau, collé;8;9;2;封;1763;fuu, 	hoo;seal/ sealing/ closing. fief;-;-
horizon;eau, falaise, joyau;8;11;1;涯;201;gai;shore;-;-
temple bouddhique;terre, collé;8;6;2;寺;808;ji;temple;tera;temple
temps;soleil, temple bouddhique;8;10;5;時;818;ji;hour, o'clock, time/ Buddhist sect originating in the thirteenth century ;toki;time, hour, moment, occasion/ season/ opportunity/ the times/ tense
nivelé;sol, louche, goutte;8;7;2;均;430;kin;to level, to average;-;-
remplir;terre, vrai;8;13;0;填;1479;ten;go into, fit into/ fall into, plunge into/ be deceived;-;-
feu;Aucun;8;4;5;火;133;ka;fire, Tuesday;hi, [ho];fire, flame, blaze
inflammation;feu, feu;8;8;1;炎;90;en;inflammation;honoo;flame, blaze
tourment;feu, tête;8;13;1;煩;1674;han, [bon];worry, trouble;wazura(u), wazura(wasu);be ill/ worry, be afflicted, be in pain, be troubled. trouble, keep (someone) busy, disturb, annoy 
dilué;eau, inflammation;8;11;1;淡;1340;tan;light, faint, pale, fleeting/ a little;awa(i);light, faint, pale, fleeting/ a little
lampe;feu, clou;8;6;2;灯;1500;too;lamp, light/ counter for lights;hi;a light
ferme;feu, rizière;8;9;0;畑;1645;-;-;hata, hatake;field, farm, plantation, garden/ one's specialty
désastre;feu, fleuve;8;7;1;災;695;sai;calamity, misfortune, woe, evil, curse;wazawa(i);calamity, misfortune, woe, evil, curse
cendre;falaise, feu;8;6;2;灰;174;kai;ashes;hai;ashes
point;feu, bonne aventure/chaudron;8;9;3;点;1475;ten;point/ mark/ score, run/ speck/ stain/ defect/ a detail/ standpoint/ items, pieces/ decimal point/ vote;-;-
illuminer;briller, feu;8;13;2;照;999;shoo;shine;te(ru), te(rasu), te(reru);shine. shine on, shed light on, illuminate/ compare with, be bashful
poisson;emballé, rizière, chaudron;8;11;4;魚;391;gyo;fish;uo, sakana;fish
halieutique;eau, poisson;8;14;2;漁;393;gyo, 	ryoo;fishing/ fishery/ catch, haul;-;-
hameau/lieue;champ, terre;9;7;0;里;2037;ri;village/ a Japanese league, 2.44 miles;sato;village, hamlet, the country/ parents' home
noir;ordinateur, feu;9;11;4;黒;662;koku;black/ dark;kuro, kuro(i);black/ dark, swarthy, browned/ dirty
encre;noir, terre;9;14;1;墨;1881;boku;India ink, Chinese ink/ ink stick/ inked marking string/ ink (of a squid) ;sumi;India ink, Chinese ink/ ink stick/ inked marking string/ ink (of a squid) 
carpe;poisson, ordinateur;9;18;1;鯉;;ri;carp ;koi;
quantité;point du jour, lieue;9;12;2;量;2067;ryoo;quantity, amount, volume/ magnanimity/ a measure ;haka(ru);measure, gauge, weigh/ fathom, sound/ compute, estimate
fifrelin;falaise, ordinateur;9;9;1;厘;2077;rin;one-tenth of a sen/ one-tenth of a bu;-;-
enterrer;terre, ordinateur;9;10;2;埋;1899;mai;be filled up, be buried, be imbedded in ;u(meru), u(maru), u(moreru);be filled up, be buried, be imbedded in. bury, inter, fill up, pour in, plug up, inlay/ make up for. be covered/ live in obscruity 
identique;bouche, unique, bonnet;9;6;4;同;1536;doo;the same, the said, ibid;ona(ji);same, identical, equal/ uniform/ equivalent/ similar/ common (origin)/ changeless
